,title,Location,Job Family,Job Class,Posting Start,Posting End,Details,MINIMUM SALARY,DAILY RATE RANGE,Salary,HOURLY RATE RANGE,SALARY RANGE
78,LIAISON BEHAVIOR (PART-TIME) 23/24SY,SPECIAL EDUCATION,CLASSIFIED,LIAISON,07/19/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
79,EDUC ASSIST SPED HS 23/24SY,HARDIN VALLEY ACADEMY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,07/20/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
80,TCHR SPED CDC ES 23/24SY,NORTHSHORE ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,07/20/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
81,EDUC ASSIST TITLE 1 23/24SY,MOORELAND HEIGHTS ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,07/20/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
82,TCHR SPANISH HS 23/24SY,CAREER MAGNET ACADEMY,CERTIFIED,TEACHER HS,07/20/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
83,EDUC ASSIST PK 23/24SY,LONSDALE ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,07/20/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
84,SECRETARY SCHOOL SUPPLY THROUGH 10/6/23,SOUTH DOYLE MIDDLE,CLASSIFIED,SCHOOL CLERICAL,07/20/2023,10/06/2023,JOB DESCRIPTION,,"$23,560.00-$23,560.00",,,
85,TCHR MATH HS SUPPLY THROUGH 12/20/23,HARDIN VALLEY ACADEMY,CERTIFIED,TEACHER HS MATHEMATICS,07/21/2023,12/20/2023,JOB DESCRIPTION,"$44,800.00",,,,
86,ASSISTANT FOOTBALL COACH / CENTRAL HIGH SCHOOL,CENTRAL HIGH,CLASSIFIED,ATH COACH FOOTBALL ASSISTANT,07/21/2023,11/29/2023,,,,,,
87,ASSISTANT GIRLS TRACK COACH / AUSTIN EAST HIGH SCHOOL,AUSTIN EAST HIGH,CLASSIFIED,ATH COACH TRACK ASSISTANT,07/21/2023,11/29/2023,,,,,,
88,EDUC ASSIST SATL SP 23/24SY,RIDGEDALE ALTERNATIVE,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,07/21/2023,09/30/2023,JOB DESCRIPTION,"$26,439.00",,,,
89,CROSS COUNTRY COACH / AUSTIN EAST HIGH SCHOOL,AUSTIN EAST HIGH,CLASSIFIED,ATH COACH CROSS COUNTRY,07/21/2023,11/29/2023,,,,,,
90,PERMANENT SUB II 23/24SY,WEST HAVEN ELEMENTARY,CLASSIFIED,SUBSTITUTE PERMANENT II,07/21/2023,09/30/2023,JOB DESCRIPTION,,,,,
91,EDUC ASSIST CDC-A HS 23/24SY,FARRAGUT HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,07/21/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
92,EDUC ASSIST SPED ES 23/24SY,ROCKY HILL ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,07/24/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
93,EDUC ASSIST SPED ES 23/24SY,NORWOOD ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,07/25/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
94,TCHR SPECIAL ED MS 23/24SY,POWELL MIDDLE,CERTIFIED,TEACHER MS SPECIAL ED,07/25/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
95,TCHR SPECIAL ED ES 23/24SY,BEAUMONT MAGNET,CERTIFIED,TEACHER ES SPECIAL ED,07/25/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
96,PSYCHOLOGIST 23/24SY,STUDENT SUPPORT SERVICES,CERTIFIED,PSYCHOLOGIST,07/26/2023,09/30/2023,JOB DESCRIPTION,"$47,264.00",,,,
97,ASSISTANT BASEBALL COACH / EXTRA / HALLS HIGH SCHOOL,HALLS HIGH,CLASSIFIED,ATH COACH BASEBALL ASSISTANT,07/26/2023,11/29/2023,,,,,,
98,EDUC ASSIST CDC HS 23/24SY,SOUTH DOYLE HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,07/27/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
99,PSYCHOLOGIST 23/24SY,SYSTEMWIDE,CERTIFIED,PSYCHOLOGIST,07/27/2023,09/30/2023,JOB DESCRIPTION,"$47,264.00",,,,
100,TCHR SPED MS 23/24SY,HARDIN VALLEY MIDDLE,CERTIFIED,TEACHER MS SPECIAL ED,07/27/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
101,EDUC ASSIST ES 23/24SY,MOORELAND HEIGHTS ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,07/27/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
102,TCHR 2ND GRADE SUPPLY THROUGH 11/16/23,WEST VIEW ELEMENTARY,CERTIFIED,TEACHER 2ND GRADE,07/27/2023,11/16/2023,JOB DESCRIPTION,,"$36,100.00-$36,100.00",,,
103,EDUC ASSIST CDC-A HS 23/24SY,HALLS HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,07/28/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
104,TCHR SPED ES 23/24SY,PLEASANT RIDGE ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,07/28/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
105,COLL & CAREER COUNSELOR 23/24SY,CARTER MIDDLE,CERTIFIED,COUNSELOR COLLEGE AND CAREER,07/28/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
106,TCHR SPED ES 23/24SY,KARNS ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,07/28/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
107,ASSISTANT BOYS SOCCER COACH / AUSTIN EAST HIGH SCHOOL,AUSTIN EAST HIGH,CLASSIFIED,ATH COACH SOCCER ASSISTANT,07/29/2023,11/29/2023,,,,,,
108,TCHR FOREIGN LANG HS (SPANISH) 23/24SY,HALLS HIGH,CERTIFIED,TEACHER HS WORLD LANGUAGES,07/31/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
109,EDUC ASSIST CDC-A ES 23/24SY,ROCKY HILL ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,07/31/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
110,EDUC ASSIST SPED HS 23/24SY,WEST HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,07/31/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
111,EDUC ASSIST PAC ES 23/24SY,MOORELAND HEIGHTS ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,07/31/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
112,EDUC ASSIST CDC-A ES 23/24SY,INSKIP ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,08/01/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
113,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",KNOX COUNTY VIRTUAL SCHOOL,CLASSIFIED,TUTOR LITERACY,08/01/2023,04/30/2024,JOB DESCRIPTION,$125.00,,,,
114,EDUC ASSIST CDC-A ES 23/24SY,BRICKEY-MCCLOUD ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,08/01/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
115,HEAD TENNIS COACH / FULTON HIGH SCHOOL,FULTON HIGH,CLASSIFIED,ATH COACH TENNIS HEAD,08/01/2023,11/29/2023,,,,,,
116,EDUC ASSIST CDC ES 23/24SY,ROCKY HILL ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,08/02/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
117,EDUC ASSIST CDC MS 23/24SY,SOUTH DOYLE MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,08/02/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
118,CLUB SPORT / ASSISTANT SWIM AND DIVE COACH / WEST HIGH SCHOOL,WEST HIGH,CLASSIFIED,ATH COACH CLUB SPORTS,08/03/2023,11/29/2023,,,,,,
119,COLL & CAREER COUNSELOR 23/24SY,FARRAGUT MIDDLE,CERTIFIED,COUNSELOR COLLEGE AND CAREER,08/03/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
120,RESTORATIVE ASSTISTANT (PART-TIME) 23/24SY,RIDGEDALE ALTERNATIVE,CLASSIFIED,EDUCATIONAL ASSISTANT HS,08/03/2023,09/30/2023,JOB DESCRIPTION,"$26,439.00",,,,
