title,Location,Job Family,Job Class,Posting Start,Posting End,Details,MINIMUM SALARY,DAILY RATE RANGE,Salary,HOURLY RATE RANGE,SALARY RANGE
INSTRUCTOR ROTC 23/24SY,FULTON HIGH,CERTIFIED,TEACHER ROTC,8/30/23,9/30/23,JOB DESCRIPTION,"$40,000.00 ",,,,
EDUC ASSIST SPED ES 23/24SY,CEDAR BLUFF ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,8/30/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
GIRLS TRACK COACH / POWELL MIDDLE SCHOOL,POWELL MIDDLE,CLASSIFIED,ATH COACH TRACK MIDDLE SCHOOL,8/30/23,11/29/23,,,,,,
EDUC ASSIST SPED ES 23/24SY,FARRAGUT INTERMEDIATE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,9/1/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
CLUB SPORT / ASSISTANT SWIM COACH / HARDIN VALLEY ACADEMY,HARDIN VALLEY ACADEMY,CLASSIFIED,ATH COACH CLUB SPORTS,9/5/23,11/29/23,,,,,,
ASSISTANT BOYS BASKETBALL COACH / EXTRA / FARRAGUT MIDDLE SCHOOL,FARRAGUT MIDDLE,CLASSIFIED,ATH COACH BASKETBALL MIDDLE,9/5/23,11/29/23,,,,,,
ASSISTANT GIRLS SOFTBALL COACH / EXTRA / WEST HIGH SCHOOL,WEST HIGH,CLASSIFIED,ATH COACH SOFTBALL ASSISTANT,9/5/23,11/29/23,,,,,,
ASSISTANT GIRLS BASKETBALL COACH / EXTRA / HARDIN VALLEY MIDDLE SCHOOL,HARDIN VALLEY MIDDLE,CLASSIFIED,ATH COACH BASKETBALL MIDDLE,9/6/23,11/29/23,,,,,,
ASSISTANT CHEER COACH / EXTRA / HARDIN VALLEY MIDDLE SCHOOL,HARDIN VALLEY MIDDLE,CLASSIFIED,ATH COACH CHEERLEADER MIDDLE,9/6/23,11/29/23,,,,,,
TCHR SPECIAL EDUC 23/24SY,RICHARD YOAKLEY SCHOOL,CERTIFIED,TEACHER HS SPECIAL ED,9/6/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST SATL SP 23/24SY,RIDGEDALE ALTERNATIVE,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,9/6/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
EDUC ASSIST KIND INT 23/24SY,WEST VIEW ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,9/6/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED PK 23/24SY,BRICKEY-MCCLOUD ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED PK,9/6/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED PK 23/24SY,BRICKEY-MCCLOUD ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED PK,9/6/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
RESTORATIVE INTERVENTION 23/24SY,SARAH MOORE GREENE MAGNET,CLASSIFIED,RESTORATIVE INTERVENTIONIST,9/6/23,9/30/23,JOB DESCRIPTION,"$30,464.00 ",,,,
ASSISTANT SOFTBALL COACH / EXTRA / GIBBS HIGH SCHOOL,GIBBS HIGH,CLASSIFIED,ATH COACH SOFTBALL ASSISTANT,9/7/23,11/29/23,,,,,,
ASSISTANT CHEER COACH / EXTRA / FARRAGUT MIDDLE SCHOOL,FARRAGUT MIDDLE,CLASSIFIED,ATH COACH CHEERLEADER MIDDLE,9/7/23,11/29/23,,,,,,
ASSISTANT GIRLS BASKETBALL COACH / KARNS HIGH SCHOOL,KARNS HIGH,CLASSIFIED,ATH COACH BASKETBALL B-TEAM,9/7/23,11/29/23,,,,,,
TCHR LANG ARTS 8 23/24SY,VINE MIDDLE,CERTIFIED,TEACHER 8TH GRADE ELA,9/8/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR SCIENCE 6 23/24SY,VINE MIDDLE,CERTIFIED,TEACHER 6TH GRADE SCIENCE,9/8/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
GENERALIST - ASSESSMENT 23/24SY,ACCOUNTABILITY,CLASSIFIED,GENERALIST,9/8/23,9/30/23,JOB DESCRIPTION,"$39,535.00 ",,,,
COACH TRANSITION 23/24SY,SPECIAL EDUCATION,CLASSIFIED,COACH SPECIAL EDUCATION,9/8/23,9/30/23,JOB DESCRIPTION,,,"$40,000.00-$40,000.00",,
THERAP LIC MNTL HLTH 23/24SY,OFFICE OF SCHOOL CULTURE,CLASSIFIED,MENTAL HEALTH WORKER,9/8/23,9/30/23,JOB DESCRIPTION,"$43,671.00 ",,,,
THERAP LIC MNTL HLTH 23/24SY,OFFICE OF SCHOOL CULTURE,CLASSIFIED,MENTAL HEALTH WORKER,9/8/23,9/30/23,JOB DESCRIPTION,"$43,671.00 ",,,,
EDUC ASSIST CDC-A MS 23/24SY,POWELL MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,9/11/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
FACIL TRAUMA INFORMED 23/24SY,STUDENT SUPPORT SERVICES,CLASSIFIED,FACILITATOR,9/11/23,9/30/23,JOB DESCRIPTION,"$49,504.00 ",,,,
CLUB SPORT / ASSISTANT GIRLS LACROSSE COACH / WEST HIGH SCHOOL,WEST HIGH,CLASSIFIED,ATH COACH CLUB SPORTS,9/11/23,11/29/23,,,,,,
EDUC ASSIST SPED ES 23/24SY,BLUE GRASS ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,9/11/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED ES 23/24SY,KARNS ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,9/11/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED MS 23/24SY,KARNS MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,9/11/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED HS 23/24SY,KARNS HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,9/11/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED ES 23/24SY,INSKIP ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,9/11/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED ES 23/24SY,NORWOOD ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,9/11/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
CULTURAL LIAISON 23/24SY,WHITTLE SPRINGS MIDDLE,CLASSIFIED,LIAISON,9/11/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST SPED ES 23/24SY,HALLS ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,9/11/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED ES 23/24SY,AL LOTTS ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,9/11/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED ES 23/24SY,AL LOTTS ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,9/11/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED ES 23/24SY,BEARDEN ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,9/11/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED ES 23/24SY,SEQUOYAH ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,9/11/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED ES 23/24SY,SARAH MOORE GREENE MAGNET,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,9/11/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
OFFICER STUDENT SUCCESS ADVISEMENT & IMPROVEMENT,OFFICE OF THE SUPERINTENDENT,ADMINISTRATIVE/SUPERVISORY,SUPERVISOR,9/12/23,9/30/23,JOB DESCRIPTION,"$57,120.00 ",,,,
BOYS TRACK COACH / POWELL MIDDLE SCHOOL,POWELL MIDDLE,CLASSIFIED,,9/13/23,11/29/23,,,,,,
CHEER COACH / HARDIN VALLEY ACADEMY,HARDIN VALLEY ACADEMY,CLASSIFIED,ATH COACH CHEERLEADER HIGH,9/13/23,11/29/23,,,,,,
HEAD BOYS TRACK COACH / FARRAGUT MIDDLE SCHOOL,FARRAGUT MIDDLE,CLASSIFIED,ATH COACH TRACK MIDDLE SCHOOL,9/14/23,11/29/23,,,,,,
FOOD SERVICE,CHILD NUTRITION,CLASSIFIED,FOOD SERVICE WORKER,7/1/23,12/31/99,Job Description,,,,$11.75-$18.18,
