title,Location,Job Family,Job Class,Posting Start,Posting End,Details,MINIMUM SALARY,DAILY RATE RANGE,Salary,HOURLY RATE RANGE,SALARY RANGE
TCHR SPECIAL EDUC 23/24SY,SOUTH DOYLE HIGH,CERTIFIED,TEACHER HS SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR SPED ES 23/24SY,WEST HAVEN ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
HEAD GIRLS TRACK COACH / CENTRAL HIGH SCHOOL,CENTRAL HIGH,CLASSIFIED,ATH COACH TRACK HEAD,5/16/23,11/29/23,,,,,,
EDUC ASSIST SPED ES 23/24SY,WEST HAVEN ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR SPEECH AND LANGUAGE SUPPLY THROUGH 12/21/23,SPEECH SERVICES,CERTIFIED,TEACHER SPEECH,7/3/23,12/21/23,JOB DESCRIPTION,"$44,800.00 ",,,,
ASSISTANT GIRLS SOCCER COACH / POWELL HIGH SCHOOL,POWELL HIGH,CLASSIFIED,ATH COACH SOCCER ASSISTANT,5/17/23,11/29/23,,,,,,
ASSISTANT FOOTBALL COACH / EXTRA / HALLS HIGH SCHOOL,HALLS HIGH,CLASSIFIED,ATH COACH FOOTBALL ASSISTANT,4/11/23,11/29/23,,,,,,
TCHR SPED PRE-SCHOOL 23/24SY,BRICKEY-MCCLOUD ELEMENTARY,CERTIFIED,TEACHER PRE-K SPED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
FRESHMAN BOYS BASKETBALL COACH / SOUTH DOYLE HIGH SCHOOL,SOUTH DOYLE HIGH,CLASSIFIED,ATH COACH BASKETBALL FRESHMAN,5/18/23,11/29/23,,,,,,
EDUC ASSIST CDC MS SUPPLY THROUGH 12/20/23,NORTHWEST MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,7/3/23,12/20/23,JOB DESCRIPTION,"$21,192.60 ",,,,
EDUC ASSIST CDC-A MS 23/24SY,POWELL MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TENNIS COACH / SOUTH DOYLE HIGH SCHOOL,SOUTH DOYLE HIGH,CLASSIFIED,ATH COACH TENNIS HEAD,5/22/23,11/29/23,,,,,,
ASSISTANT BASEBALL COACH / EXTRA / SOUTH DOYLE HIGH SCHOOL,SOUTH DOYLE HIGH,CLASSIFIED,ATH COACH BASEBALL ASSISTANT,5/22/23,11/29/23,,,,,,
BOYS TRACK COACH / WEST VALLEY MIDDLE SCHOOL,WEST VALLEY MIDDLE,CLASSIFIED,ATH COACH TRACK MIDDLE SCHOOL,5/22/23,11/29/23,,,,,,
RESTORATIVE LIAISON 23/24SY,SYSTEMWIDE,CLASSIFIED,LIAISON,7/3/23,9/30/23,JOB DESCRIPTION,"$45,920.00 ",,,,
GIRLS TRACK COACH / NORTHWEST MIDDLE SCHOOL,NORTHWEST MIDDLE,CLASSIFIED,ATH COACH TRACK MIDDLE SCHOOL,5/30/23,11/29/23,,,,,,
EDUC ASSIST SPED PK 23/24SY,FORT SANDERS EDU DEVELOP CENT,CLASSIFIED,EDUCATIONAL ASSISTANT SPED PK,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED PK 23/24SY,FORT SANDERS EDU DEVELOP CENT,CLASSIFIED,EDUCATIONAL ASSISTANT SPED PK,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR SPED SEC SA 23/24SY,HALLS HIGH,CERTIFIED,TEACHER MS SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST CDC ES 23/24SY,BALL CAMP ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
ASSISTANT FOOTBALL COACH / EXTRA / CARTER HIGH SCHOOL,CARTER HIGH,CLASSIFIED,ATH COACH FOOTBALL ASSISTANT,4/24/23,11/29/23,,,,,,
FRESHMAN BOYS BASKETBALL COACH / AUSTIN EAST HIGH SCHOOL,WEST VALLEY MIDDLE,CLASSIFIED,ATH COACH BASKETBALL FRESHMAN,4/25/23,11/29/23,,,,,,
ASSISTANT FOOTBALL COACH / EXTRA / POWELL HIGH SCHOOL,POWELL HIGH,CLASSIFIED,ATH COACH FOOTBALL ASSISTANT,5/31/23,11/29/23,,,,,,
HEAD WRESTLING COACH / AUSTIN EAST HIGH SCHOOL,AUSTIN EAST HIGH,CLASSIFIED,ATH COACH WRESTLING HEAD,5/17/21,11/29/23,,,,,,
STRENGTH AND CONDITIONING COACH / SOUTH DOYLE HIGH SCHOOL,SOUTH DOYLE HIGH,CLASSIFIED,STRENGTH & CONDITIONING COACH,6/2/23,11/29/23,,,,,,
ASSISTANT BOYS BASKETBALL COACH / EXTRA HALLS MIDDLE SCHOOL,HALLS MIDDLE,CLASSIFIED,ATH COACH BASKETBALL MIDDLE,6/2/23,11/29/23,,,,,,
ASSISTANT GIRLS BASKETBALL COACH / EXTRA / HALLS MIDDLE SCHOOL,HALLS MIDDLE,CLASSIFIED,ATH COACH BASKETBALL MIDDLE,6/2/23,11/29/23,,,,,,
ASSISTANT BASEBALL COACH / CENTRAL HIGH SCHOOL,CENTRAL HIGH,CLASSIFIED,ATH COACH BASEBALL ASSISTANT,6/2/23,11/29/23,,,,,,
PSYCHOLOGIST (CHILD FIND) 23/24SY,SYSTEMWIDE,CERTIFIED,PSYCHOLOGIST,7/3/23,9/30/23,JOB DESCRIPTION,"$47,264.00 ",,,,
TCHR SPEECH AND LANG (CHILD FIND),SYSTEMWIDE,CERTIFIED,TEACHER SPEECH,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR SPED CHILD FIND 23/24SY,SYSTEMWIDE,CERTIFIED,TEACHER SYSTEMWIDE,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST ES (PART-TIME) 23/24SY,SEQUOYAH ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSISTANT ELL (POOL) 23/24SY,ENGLISH LANGUAGE LEARNERS,CLASSIFIED,EA SYSTEMWIDE,5/1/23,6/30/24,JOB DESCRIPTION,"$19,918.00 ",,,,
INTERPRETER (ARABIC) 23/24SY,ENGLISH LANGUAGE LEARNERS,CLASSIFIED,INTERPRETER CLASSIFIED,7/3/23,9/30/23,JOB DESCRIPTION,"$27,778.15 ",,,,
TCHR SPECIAL ED MS 23/24SY,GRESHAM MIDDLE,CERTIFIED,TEACHER MS SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR SPED PRE K SUPPLY THROUGH 12/20/23,KARNS PRESCHOOL,CERTIFIED,TEACHER PRE-K SPED,7/3/23,12/20/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR FOREIGN LANG (FRENCH) HS 23/24SY,SOUTH DOYLE HIGH,CERTIFIED,TEACHER HS WORLD LANGUAGES,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST CDC HS 23/24SY,FULTON HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR MATH HS 23/24SY,AUSTIN EAST HIGH,CERTIFIED,TEACHER HS MATHEMATICS,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR SPED ES 23/24SY,GIBBS ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
ASSISTANT FOOTBALL COACH / GIBBS HIGH SCHOOL,GIBBS HIGH,CLASSIFIED,ATH COACH FOOTBALL ASSISTANT,5/4/23,11/29/23,,,,,,
ASSISTANT CROSS COUNTRY COACH / EXTRA / GIBBS HIGH SCHOOL,GIBBS HIGH,CLASSIFIED,ATH COACH TRACK ASSISTANT,5/3/23,11/29/23,,,,,,
TCHR SPED HS 23/24SY,KARNS HIGH,CERTIFIED,TEACHER HS SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR SPED SEC SA 23/24SY,SOUTH DOYLE HIGH,CERTIFIED,TEACHER HS SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
PSYCHOLOGIST 23/24SY,SYSTEMWIDE,CERTIFIED,PSYCHOLOGIST,7/3/23,9/30/23,JOB DESCRIPTION,"$47,264.00 ",,,,
TCHR JUVENILE DETENTION CENTER 23/24SY,OFFICE OF SCHOOL CULTURE,CERTIFIED,TEACHER SYSTEMWIDE,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
ASSISTANT WRESTLING COACH/HARDIN VALLEY ACADEY,HARDIN VALLEY ACADEMY,CLASSIFIED,ATH COACH WRESTLING ASSISTANT,6/9/23,11/29/23,,,,"$2,750.00-$3,949.00",,
TCHR 5TH GRADE SUPPLY THROUGH 12/20/23,EAST KNOX ELEMENTARY,CERTIFIED,TEACHER 5TH GRADE,7/3/23,12/20/23,JOB DESCRIPTION,"$44,800.00 ",,,,
NON FACULTY BAND TECH SUPPLEMENT (POOL) 23/24SY,AUSTIN EAST HIGH,CLASSIFIED,BAND TECH,5/9/23,4/30/24,,"$1,650.00 ",,,,
NON FACULTY BAND TECH (SUPPLEMENT) POOL 23/24SY,BEARDEN HIGH,CLASSIFIED,BAND TECH,5/9/23,4/30/24,,"$1,650.00 ",,,,
NON FACULTY BAND TECH (SUPPLEMENT) POOL 23/24SY,CARTER HIGH,CLASSIFIED,BAND TECH,5/9/23,4/30/24,,"$1,650.00 ",,,,
TCHR SPED HS 23/24SY,CENTRAL HIGH,CERTIFIED,TEACHER HS SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
NON FACULTY BAND TECH (SUPPLEMENT) POOL 23/24SY,CENTRAL HIGH,CLASSIFIED,BAND TECH,5/9/23,4/30/24,,"$1,650.00 ",,,,
NON FACULTY BAND TECH (SUPPLEMENT) POOL 23/24SY,FARRAGUT HIGH,CLASSIFIED,BAND TECH,5/9/23,4/30/24,,"$1,650.00 ",,,,
TCHR HEARING 23/24SY,HEARING SERVICES,CERTIFIED,TEACHER HEARING,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
NON FACULTY BAND TECH (SUPPLEMENT) POOL 23/24SY,GIBBS HIGH,CLASSIFIED,BAND TECH,5/9/23,4/30/24,,"$1,650.00 ",,,,
NON FACULTY BAND TECH (SUPPLEMENT) POOL 23/24SY,HALLS HIGH,CLASSIFIED,BAND TECH,5/9/23,4/30/24,,"$1,650.00 ",,,,
NON FACULTY BAND TECH (SUPPLEMENT) POOL 23/24SY,HARDIN VALLEY ACADEMY,CLASSIFIED,BAND TECH,5/9/23,4/30/24,,"$1,650.00 ",,,,
NON FACULTY BAND TECH (SUPPLEMENT) POOL 23/24SY,KARNS HIGH,CLASSIFIED,BAND TECH,5/9/23,4/30/24,,,,"$1,650.00-$3,713.00",,
NON FACULTY BAND TECH (SUPPLEMENT) POOL 23/24SY,POWELL HIGH,CLASSIFIED,BAND TECH,5/9/23,4/30/24,,"$1,650.00 ",,,,
NON FACULTY BAND TECH (SUPPLEMENT) POOL 23/24SY,SOUTH DOYLE HIGH,CLASSIFIED,BAND TECH,5/9/23,4/30/24,,"$1,650.00 ",,,,
NON FACULTY BAND TECH (SUPPLEMENT) POOL 23/24SY,WEST HIGH,CLASSIFIED,BAND TECH,5/9/23,4/30/24,,"$1,650.00 ",,,,
EDUC ASSIST SPED ES 23/24SY,BALL CAMP ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED PK 23/24SY,WEST HILLS ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED PK,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
PERMANENT SUB II 23/24SY,GRESHAM MIDDLE,CLASSIFIED,SUBSTITUTE PERMANENT II,7/3/23,9/30/23,JOB DESCRIPTION,,,,,
TCHR SPED ES SUPPLY THROUGH 10/5/23,DOGWOOD ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,7/3/23,10/5/23,JOB DESCRIPTION,,"$36,100.00-$36,100.00",,,
EDUC ASSIST SATL SP 23/24SY,RICHARD YOAKLEY SCHOOL,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,7/3/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
EDUC ASSIST PAC ES 23/24SY,GREEN MAGNET ACADEMY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
BOYS ASSISTANT BASKETBALL COACH / EXTRA / KARNS MIDDLE SCHOOL,KARNS MIDDLE,CLASSIFIED,ATH COACH BASKETBALL MIDDLE,6/15/23,11/29/23,,,,,,
ASSISTANT BASEBALL COACH - PITCHING COACH / EXTRA / KARNS HIGH SCHOOL,KARNS HIGH,CLASSIFIED,ATH COACH BASEBALL ASSISTANT,6/15/23,11/29/23,,,,,,
EDUC ASSIST SPED ES 23/24SY,BALL CAMP ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED ES 23/24SY,GREEN MAGNET ACADEMY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR SOC STUDIES HS (PART-TIME) 23/24SY,KARNS HIGH,CERTIFIED,TEACHER HS SOCIAL STUDIES,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST CDC MS 23/24SY,NORTHWEST MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,7/3/23,9/30/23,JOB DESCRIPTION,"$21,192.60 ",,,,
EA SUPPLY DEPOT 23/24SY,PUBLIC AFFAIRS,CLASSIFIED,EA SYSTEMWIDE,8/4/23,9/30/23,JOB DESCRIPTION,"$24,040.50 ",,,,
EDUC ASSIST SPED HS 23/24SY,CENTRAL HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
SUBSTITUTE APPLICANT POOL 23/24SY,SUBSTITUTE,SUBSTITUTES,SUB REG IN CERTIFIED POS,6/26/23,12/31/99,,,,,,
EDUC ASSIST TITLE 1 23/24SY,EAST KNOX ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR LANG ARTS HS SUPPLY THROUGH 12/20/23,FULTON HIGH,CERTIFIED,TEACHER HS ELA,7/3/23,12/20/23,JOB DESCRIPTION,,"$36,100.00-$36,100.00",,,
MAINT MOWING CREW,MAINTENANCE,CLASSIFIED,MAINTENANCE - GROUNDS,6/24/21,12/31/99,Job Description,,,,$10.94-$16.93,
